Agency,AgencyAcronym,Reporting Period,Agency Size,Question Number,Question,Answer,External Data Type
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.c.i,2.1 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.c.ii,2.1 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.1.a.i,2.1.1 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.1.a.ii,2.1.1 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.1.b.i,2.1.1 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.1.b.ii,2.1.1 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.1.c.i,2.1.1 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.1.c.ii,2.1.1 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.2.a.i,2.2 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.2.a.ii,2.2 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.2.b.i,2.2 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.2.b.ii,2.2 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.2.c.i,2.2 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.2.c.ii,2.2 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.a.i,2.3 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.a.ii,2.3 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.b.i,2.3 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.b.ii,2.3 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.c.i,2.3 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.c.ii,2.3 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.1.a.i,2.3.1 FISMA High Systems from 1.1.1,,reqpiv
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.1.a.ii,2.3.1 FISMA High Systems from 1.1.2,,reqpiv
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.1.b.i,2.3.1 FISMA Moderate Systems from 1.1.1,,reqpiv
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.1.b.ii,2.3.1 FISMA Moderate Systems from 1.1.2,,reqpiv
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.1.c.i,2.3.1 FISMA Low Systems from 1.1.1,,reqpiv
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.1.c.ii,2.3.1 FISMA Low Systems from 1.1.2,,reqpiv
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.2.a.i,2.3.2 FISMA High Systems from 1.1.1,,reqfido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.2.a.ii,2.3.2 FISMA High Systems from 1.1.2,,reqfido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.2.b.i,2.3.2 FISMA Moderate Systems from 1.1.1,,reqfido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.2.b.ii,2.3.2 FISMA Moderate Systems from 1.1.2,,reqfido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.2.c.i,2.3.2 FISMA Low Systems from 1.1.1,,reqfido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.2.c.ii,2.3.2 FISMA Low Systems from 1.1.2,,reqfido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.3.a.ii,2.3.3 FISMA High Systems from 1.1.2,,mfareq
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.3.b.ii,2.3.3 FISMA Moderate Systems from 1.1.2,,mfareq
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.3.c.ii,2.3.3 FISMA Low Systems from 1.1.2,,mfareq
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.4.a.ii,2.3.4 FISMA High Systems from 1.1.2,,mfafido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.4.b.ii,2.3.4 FISMA Moderate Systems from 1.1.2,,mfafido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.3.4.c.ii,2.3.4 FISMA Low Systems from 1.1.2,,mfafido
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.4.a.i,2.4 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.4.a.ii,2.4 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.4.b.i,2.4 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.4.b.ii,2.4 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.4.c.i,2.4 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.4.c.ii,2.4 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.a.i,2.5 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.a.ii,2.5 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.b.i,2.5 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.b.ii,2.5 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.c.i,2.5 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.c.ii,2.5 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.1.a.i,2.5.1 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.1.a.ii,2.5.1 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.1.b.i,2.5.1 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.1.b.ii,2.5.1 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.1.c.i,2.5.1 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.5.1.c.ii,2.5.1 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.a.i,2.6 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.a.ii,2.6 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.b.i,2.6 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.b.ii,2.6 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.c.i,2.6 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.c.ii,2.6 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.1.a.i,2.6.1 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.1.a.ii,2.6.1 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.1.b.i,2.6.1 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.1.b.ii,2.6.1 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.1.c.i,2.6.1 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.6.1.c.ii,2.6.1 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.7.a.i,2.7 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.7.a.ii,2.7 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.7.b.i,2.7 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.7.b.ii,2.7 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.7.c.i,2.7 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.7.c.ii,2.7 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.8.a.i,2.8 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.8.a.ii,2.8 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.8.b.i,2.8 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.8.b.ii,2.8 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.8.c.i,2.8 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.8.c.ii,2.8 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.9.a.i,2.9 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.9.a.ii,2.9 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.9.b.i,2.9 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.9.b.ii,2.9 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.9.c.i,2.9 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.9.c.ii,2.9 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.a.i,2.10 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.a.ii,2.10 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.b.i,2.10 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.b.ii,2.10 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.c.i,2.10 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.c.ii,2.10 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.1.a.i,2.10.1 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.1.a.ii,2.10.1 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.1.b.i,2.10.1 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.1.b.ii,2.10.1 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.1.c.i,2.10.1 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.1.c.ii,2.10.1 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.2.a.i,2.10.2 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.2.a.ii,2.10.2 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.2.b.i,2.10.2 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.2.b.ii,2.10.2 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.2.c.i,2.10.2 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.2.c.ii,2.10.2 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.3.a.i,2.10.3 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.3.a.ii,2.10.3 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.3.b.i,2.10.3 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.3.b.ii,2.10.3 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.3.c.i,2.10.3 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.3.c.ii,2.10.3 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.4.a.i,2.10.4 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.4.a.ii,2.10.4 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.4.b.i,2.10.4 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.4.b.ii,2.10.4 FISMA Moderate Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.4.c.i,2.10.4 FISMA Low Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.10.4.c.ii,2.10.4 FISMA Low Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.11,Please provide the number of systems that provide enterprise identity and access management services.,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.11.1,Please provide the number of systems subject to identity management services from a system identified under 2.11,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1,"Using the model defined in OMB M-21-31, provide a self-evaluation of the maturity [19] of the agency’s enterprise log management capability. 
	",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.1.a,EL0,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.1.b,EL1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.1.c,EL2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.1.d,EL3,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.2.a,EL0,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.2.b,EL1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.2.c,EL2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.2.d,EL3,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.3.a,EL0,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.3.b,EL1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.3.c,EL2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.1.3.d,EL3,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.2.a,EL0,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.2.b,EL1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.2.c,EL2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,3.1.2.d,EL3,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1,"As per M-21-30, 'agencies must identify their critical software and adopt the required security measures 
	for the use of that software.' Provide the total number of on-premise and uniquely managed [23] software products categorized as critical software. This is a count of products rather than instances. Regardless of the number of instances deployed across an agency, the agency will count this product as one EO-Critical Software product for each uniquely managed product.


For the table below, provide the total number of on-premise and uniquely managed software products categorized as critical software for which the security measure is incorporated, the risk has been accepted for not incorporating the security measure, or the security measure is not applicable. Please note, this table only represents a subset of the required security measures outlined in Security Measures for EO-Critical Software Use.
	",,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.1.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.1.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.1.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.2.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.2.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.2.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.3.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.3.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.3.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.4.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.4.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.4.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.5.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.5.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.5.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.6.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.6.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.6.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.7.a,Critical software incorporating security measure,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.7.b,Critical software for which risk of not incorporating the security measure has been accepted,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.1.7.c,Critical software where security measure is not applicable,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.2,Has the agency established a software inventory?,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,4.2.1,Has the agency established and maintained a software inventory for EO-critical software? [24],,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,5.1,Number of GFE hardware assets (from 1.2.1-1.2.3) that only have IPv4 operational,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,5.2,Number of GFE hardware assets (from 1.2.1-1.2.3) that have both IPv4 and IPv6 operational,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,5.3,Number of GFE hardware assets (from 1.2.1-1.2.3) that only have IPv6 operational,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.1.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.1.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.1.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.2.a,Filled positions,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.2.b,Vacant positions (funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.2.c,Emerging Need (not yet created nor funded),,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,6.1.3.a,Filled positions,,
