Agency,Bureau,2.1 (H),2.1 (M),2.1 (L),2.1.1 (H),2.1.1 (M),2.1.1 (L),2.2 (H),2.2 (M),2.2 (L),2.3 (H),2.3 (M),2.3 (L),2.4 (H),2.4 (M),2.4 (L)
Department of Justice,FBI,31,42,0,30,36,0,31,43,5,27,32,3,0,5,2
Department of Justice,JMD,16,25,0,14,24,0,16,25,4,16,24,4,0,0,0
Department of Justice,OBD,1,46,0,1,44,0,1,46,1,1,45,1,0,0,0
Department of Justice,OIG,3,3,0,3,3,0,3,3,1,3,2,1,0,0,0
Department of Justice,OJP,0,21,0,0,21,0,0,21,0,0,11,0,0,5,0
Department of Justice,USMS,5,13,0,5,13,0,5,13,0,5,13,0,0,0,0
Department of Labor,BLS,0,13,0,0,13,0,0,7,0,0,12,0,0,1,0
Department of Labor,ESS,0,49,1,0,40,1,0,49,2,0,43,2,0,6,0
Department of Labor,OCFO,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Department of Labor,OIG,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0
Department of Labor,OJC,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
Department of State,A,1,17,11,1,17,11,1,17,11,1,17,15,0,0,0
Department of State,AF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of State,AVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of State,CA,17,22,0,17,22,0,17,40,0,17,33,0,0,0,0
Department of State,CGFS,0,20,14,0,20,14,0,20,14,0,20,14,0,0,0
Department of State,CT,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of State,DS,19,12,0,19,12,0,19,15,0,19,16,0,0,0,0
Department of State,EAP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Department of State,EB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of State,ECA/IIP,0,10,9,0,10,9,0,10,9,0,10,8,0,0,0
Department of State,EUR,0,4,3,0,4,3,0,4,3,0,4,3,0,0,0
Department of State,F,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of State,FSI,0,4,10,0,4,10,0,4,10,0,4,10,0,0,0
Department of State,GPA,0,1,5,0,1,5,0,1,5,0,1,5,0,0,0
Department of State,GTM,0,56,9,0,56,9,0,56,9,0,56,9,0,0,0
Department of State,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of State,INL,0,3,1,0,3,1,0,3,1,0,3,1,0,0,0
Department of State,INR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of State,IO,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0
Department of State,IRM,17,47,5,17,47,5,17,47,8,17,47,9,0,0,0
Department of State,J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of State,L,3,0,0,3,0,0,3,0,0,2,0,0,0,0,0
Department of State,M,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
Department of State,MED,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0
Department of State,NEA,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0
Department of State,OBO,0,10,10,0,10,10,0,10,10,0,10,8,0,0,0
Department of State,OES/DRL,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0
Department of State,OFM,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of State,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of State,PRM,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0
Department of State,R,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0
Department of State,S,1,9,2,1,9,2,1,9,2,1,9,0,0,0,0
Department of State,SCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of State,T - ISN/PM/VCI,1,2,0,1,2,0,1,2,0,1,2,0,0,0,0
Department of State,WHA,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of the Interior,BIA,0,19,0,0,19,0,0,19,1,0,8,0,0,0,0
Department of the Interior,BLM,0,23,0,0,22,0,0,18,2,0,17,2,0,1,0
Department of the Interior,BOR,0,31,0,0,18,0,0,18,13,0,19,15,0,0,0
Department of the Interior,BSEE,0,9,0,0,7,0,0,7,0,0,5,0,0,2,0
Department of the Interior,BTFA,0,5,0,0,3,0,0,3,0,0,3,0,0,0,0
Department of the Interior,FWS,0,11,0,0,10,0,0,11,5,0,10,5,0,0,0
Department of the Interior,NPS,0,11,0,0,6,0,0,10,3,0,5,2,0,3,0
Department of the Interior,OCIO,1,15,0,1,14,0,1,12,3,0,7,2,0,3,0
Department of the Interior,OS,0,52,0,0,52,0,0,41,20,0,31,15,0,6,1
Department of the Interior,OSM,0,3,1,0,1,1,0,2,1,0,0,0,0,0,0
Department of the Interior,USGS,0,12,0,0,12,0,0,4,0,0,7,0,0,0,0
Department of the Treasury,BEP,1,6,0,1,6,0,1,7,0,1,6,0,0,1,0
Department of the Treasury,BFS,20,36,5,17,26,5,15,17,4,12,14,3,0,0,0
Department of the Treasury,CDFI,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of the Treasury,DO,21,25,2,20,20,2,21,28,2,18,19,0,1,5,2
Department of the Treasury,FINCEN,8,0,0,5,0,0,8,0,0,8,0,0,0,0,0
Department of the Treasury,IRS,11,153,1,5,62,1,11,159,1,9,126,0,0,2,0
Department of the Treasury,MINT,0,11,1,0,10,0,1,13,0,1,13,0,0,0,0
Department of the Treasury,OIG,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of the Treasury,TIGTA,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0
Department of the Treasury,TTB,0,14,0,0,14,0,0,14,0,0,14,0,0,0,0
Department of Transportation,FAA,24,54,16,12,52,16,22,36,18,12,52,12,8,59,29
Department of Transportation,FHWA,0,13,3,0,13,3,0,13,3,0,13,1,0,0,2
Department of Transportation,FMCSA,0,17,0,0,17,0,0,6,0,0,0,0,0,0,0
Department of Transportation,FRA,0,7,1,0,6,1,0,7,1,0,6,0,0,1,1
Department of Transportation,FTA,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0
Department of Transportation,GLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Transportation,MARAD,0,6,3,0,6,3,0,6,3,0,3,0,0,3,0
Department of Transportation,NHTSA,0,13,3,0,13,3,0,13,3,0,6,3,0,0,0
Department of Transportation,OIG,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0
Department of Transportation,OST,2,31,2,2,31,2,2,36,2,2,18,2,0,0,0
Department of Transportation,PHMSA,0,3,3,0,3,3,0,3,3,0,1,0,0,2,3
Department of Veterans Affairs,EHRM,1,13,0,1,12,0,1,12,0,1,13,0,0,0,0
Department of Veterans Affairs,EPMO,101,211,0,98,207,0,99,207,36,92,189,40,0,6,0
Department of Veterans Affairs,ITOPS,45,167,0,41,165,0,33,166,11,43,164,12,1,1,0
Department of Veterans Affairs,Medical Devices,1,3,0,1,3,0,1,2,0,1,2,0,0,0,0
Department of Veterans Affairs,Other Federal Agency,2,6,0,1,6,0,1,5,1,1,6,1,0,0,0
Environmental Protection Agency,EPA,1,89,0,0,82,0,1,88,27,0,70,21,0,1,2
Federal Network Resilience,FNR,100,110,100,1,1,1,0,0,0,0,0,0,0,0,0
General Services Administration,FAS(Q),5,30,8,5,28,8,5,35,11,1,0,0,4,35,10
General Services Administration,GSAIT(I),0,5,0,0,5,0,0,5,0,0,0,0,0,4,0
General Services Administration,IC,0,12,1,0,12,1,0,14,4,0,0,0,0,12,4
General Services Administration,IP,0,10,1,0,8,1,0,19,2,0,1,0,0,17,1
General Services Administration,IQ,0,14,0,0,14,0,0,16,0,0,0,0,0,14,0
General Services Administration,OGP(M),0,3,0,0,3,0,0,3,0,0,0,0,0,3,0
National Aeronautics and Space Administration,NASA,48,443,0,27,227,0,17,163,55,29,184,57,3,34,7
National Science Foundation,NSF,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
National Science Foundation,USAP,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Nuclear Regulatory Commission,NRC,1,12,0,1,12,0,1,12,2,1,11,1,0,0,0
Office of Personnel Management,OPM,7,35,0,7,30,0,6,30,1,5,16,0,0,9,1
Small Business Administration,SBA,0,23,1,0,23,1,0,25,4,0,12,3,0,5,0
Social Security Administration,SSA,0,169,25,0,169,25,0,155,23,0,152,2,0,5,1
United States Agency for International Development (USAID),USAID,0,43,0,0,41,0,0,43,2,0,39,2,0,3,0
