Breakout,Agency Operated,Contractor Operated,Security ATO,Systems in Ongoing Authorization
Consumer Product Safety Commission - M,7,1,8,8
Consumer Product Safety Commission - L,0,0,0,0
Corporation for National and Community Service - H,0,0,0,0
Corporation for National and Community Service - M,2,3,5,5
Corporation for National and Community Service - L,0,1,1,1
Council of the Inspectors General on Integrity and Efficiency - H,0,0,0,0
Council of the Inspectors General on Integrity and Efficiency - M,1,4,5,5
Council of the Inspectors General on Integrity and Efficiency - L,0,0,0,0
Court Services and Offender Supervision Agency - H,0,0,0,0
Court Services and Offender Supervision Agency - M,8,7,15,0
Court Services and Offender Supervision Agency - L,0,0,0,0
Defense Nuclear Facilities Safety Board - H,0,0,0,0
Defense Nuclear Facilities Safety Board - M,1,0,1,0
Defense Nuclear Facilities Safety Board - L,0,0,0,0
Denali Commission - H,0,0,0,0
Denali Commission - M,1,0,1,0
Denali Commission - L,0,0,0,0
Department of Agriculture - H,9,1,10,10
Department of Agriculture - M,178,40,217,217
Department of Agriculture - L,23,6,29,29
Department of Commerce - H,28,1,29,29
Department of Commerce - M,208,24,231,207
Department of Commerce - L,32,3,35,29
Department of Defense - H,0,0,0,0
Department of Defense - M,0,0,0,0
Department of Defense - L,0,0,0,0
Department of Education - H,0,0,0,0
Department of Education - M,19,103,120,62
Department of Education - L,10,36,42,34
Department of Energy - H,11,11,22,13
Department of Energy - M,130,236,366,166
Department of Energy - L,14,51,65,40
Department of Health and Human Services - H,60,28,86,2
Department of Health and Human Services - M,584,296,876,17
Department of Health and Human Services - L,224,105,328,5
Department of Homeland Security - H,120,22,131,28
Department of Homeland Security - M,361,103,451,155
Department of Homeland Security - L,14,5,19,5
Department of Housing and Urban Development - H,0,0,0,0
Department of Housing and Urban Development - M,41,53,83,83
Department of Housing and Urban Development - L,3,4,7,7
Department of Justice - H,51,5,56,56
Department of Justice - M,150,34,184,184
Department of Justice - L,11,1,12,12
Department of Labor - H,0,0,0,0
Department of Labor - M,52,20,72,72
Department of Labor - L,2,0,2,2
Department of State Office of Inspector General - H,0,0,0,0
Department of State Office of Inspector General - M,5,0,5,0
Department of State Office of Inspector General - L,0,0,0,0
Department of State - H,42,17,55,0
Department of State - M,187,84,234,0
Department of State - L,80,30,54,0
Department of the Interior - H,1,0,1,0
Department of the Interior - M,137,54,188,140
Department of the Interior - L,38,21,56,39
Department of the Treasury - H,51,15,64,45
Department of the Treasury - M,219,47,264,225
Department of the Treasury - L,9,1,10,6
Department of Transportation - H,26,12,33,13
Department of Transportation - M,174,128,287,160
Department of Transportation - L,61,47,99,62
Department of Veterans Affairs - H,103,46,149,98
Department of Veterans Affairs - M,399,126,525,446
Department of Veterans Affairs - L,28,35,63,52
Election Assistance Commission - H,0,0,0,0
Election Assistance Commission - M,2,0,2,0
Election Assistance Commission - L,0,0,0,0
Environmental Protection Agency - H,1,0,1,0
Environmental Protection Agency - M,64,26,90,0
Environmental Protection Agency - L,23,5,28,0
Equal Employment Opportunity Commission - H,0,0,0,0
Equal Employment Opportunity Commission - M,1,3,4,0
Equal Employment Opportunity Commission - L,0,0,0,0
Export-Import Bank of the United States - H,0,0,0,0
Export-Import Bank of the United States - M,8,12,20,3
Export-Import Bank of the United States - L,1,1,2,0
Farm Credit Administration - H,0,0,0,0
Farm Credit Administration - M,3,0,3,0
Farm Credit Administration - L,0,0,0,0
Federal Communications Commission - H,0,0,0,0
Federal Communications Commission - M,35,3,20,20
Federal Communications Commission - L,0,0,0,0
Federal Deposit Insurance Corporation - H,0,0,0,0
Federal Deposit Insurance Corporation - M,61,17,75,69
Federal Deposit Insurance Corporation - L,8,2,7,5
Federal Election Commission - H,0,0,0,0
Federal Election Commission - M,2,1,3,0
Federal Election Commission - L,0,0,0,0
Federal Energy Regulatory Commission - H,0,0,0,0
Federal Energy Regulatory Commission - M,6,2,8,8
Federal Energy Regulatory Commission - L,0,0,0,0
Federal Financial Institutions Examination Council - H,0,0,0,0
Federal Financial Institutions Examination Council - M,0,0,0,0
Federal Financial Institutions Examination Council - L,0,0,0,0
Federal Housing Finance Agency - H,0,0,0,0
Federal Housing Finance Agency - M,21,36,49,49
Federal Housing Finance Agency - L,0,6,5,5
Federal Labor Relations Authority - H,0,0,0,0
Federal Labor Relations Authority - M,1,11,12,0
Federal Labor Relations Authority - L,0,0,0,0
Federal Maritime Commission - H,0,0,0,0
Federal Maritime Commission - M,3,0,3,0
Federal Maritime Commission - L,0,0,0,0
Federal Mediation and Conciliation Service - H,0,0,0,0
Federal Mediation and Conciliation Service - M,12,3,15,0
Federal Mediation and Conciliation Service - L,0,0,0,0
Federal Mine Safety and Health Review Commission - H,0,0,0,0
Federal Mine Safety and Health Review Commission - M,0,0,0,0
Federal Mine Safety and Health Review Commission - L,1,2,1,0
Federal Network Resilience - H,0,0,0,0
Federal Network Resilience - M,0,0,0,0
Federal Network Resilience - L,0,0,0,0
Federal Permitting Improvement Steering Council - H,0,0,0,0
Federal Permitting Improvement Steering Council - M,0,0,0,0
Federal Permitting Improvement Steering Council - L,1,0,0,0
Federal Retirement Thrift Investment Board - H,0,0,0,0
Federal Retirement Thrift Investment Board - M,16,6,22,0
Federal Retirement Thrift Investment Board - L,0,0,0,0
Federal Trade Commission - H,0,0,0,0
Federal Trade Commission - M,3,2,5,0
Federal Trade Commission - L,0,0,0,0
General Services Administration - H,0,5,5,0
General Services Administration - M,56,38,94,16
General Services Administration - L,14,3,17,2
Gulf Coast Ecosystem Restoration Council - H,0,0,0,0
Gulf Coast Ecosystem Restoration Council - M,0,0,0,0
Gulf Coast Ecosystem Restoration Council - L,1,0,1,1
Harry S Truman Scholarship Foundation - H,0,0,0,0
Harry S Truman Scholarship Foundation - M,0,0,0,0
Harry S Truman Scholarship Foundation - L,0,0,0,0
Institute of Museum and Library Services - H,0,0,0,0
Institute of Museum and Library Services - M,1,0,1,0
Institute of Museum and Library Services - L,0,3,3,0
Inter-American Foundation - H,0,0,0,0
Inter-American Foundation - M,1,1,2,1
Inter-American Foundation - L,0,1,1,0
International Boundary and Water Commission - H,1,1,2,2
International Boundary and Water Commission - M,1,0,1,1
International Boundary and Water Commission - L,0,0,0,0
International Trade Commission - H,0,0,0,0
International Trade Commission - M,3,0,3,1
International Trade Commission - L,0,0,0,0
James Madison Memorial Fellowship Foundation - H,0,0,0,0
James Madison Memorial Fellowship Foundation - M,0,0,0,0
James Madison Memorial Fellowship Foundation - L,0,0,0,0
Japan-United States Friendship Commission - H,0,0,0,0
Japan-United States Friendship Commission - M,0,0,0,0
Japan-United States Friendship Commission - L,10,0,0,0
Marine Mammal Commission - H,0,0,0,0
Marine Mammal Commission - M,0,0,0,0
Marine Mammal Commission - L,0,0,0,0
Merit Systems Protection Board - H,0,0,0,0
Merit Systems Protection Board - M,1,0,1,1
Merit Systems Protection Board - L,0,0,0,0
Millennium Challenge Corporation - H,0,0,0,0
Millennium Challenge Corporation - M,7,2,9,9
Millennium Challenge Corporation - L,3,0,3,3
Morris K. Udall Foundation - H,0,0,0,0
Morris K. Udall Foundation - M,1,0,0,0
Morris K. Udall Foundation - L,0,0,0,0
National Aeronautics and Space Administration - H,47,0,47,42
National Aeronautics and Space Administration - M,362,52,414,368
National Aeronautics and Space Administration - L,96,12,108,96
National Archives and Records Administration - H,2,0,2,2
National Archives and Records Administration - M,26,17,41,41
National Archives and Records Administration - L,2,1,3,3
National Capital Planning Commission - H,0,0,0,0
National Capital Planning Commission - M,6,0,5,0
National Capital Planning Commission - L,0,0,0,0
National Council on Disability - H,0,0,0,0
National Council on Disability - M,1,0,0,0
National Council on Disability - L,0,0,0,0
National Credit Union Administration - H,0,0,0,0
National Credit Union Administration - M,6,5,11,0
National Credit Union Administration - L,1,1,2,0
National Endowment for the Arts - H,0,0,0,0
National Endowment for the Arts - M,3,0,3,3
National Endowment for the Arts - L,0,0,0,0
National Endowment for the Humanities - H,0,0,0,0
National Endowment for the Humanities - M,2,1,3,0
National Endowment for the Humanities - L,0,0,0,0
National Labor Relations Board - H,0,0,0,0
National Labor Relations Board - M,4,8,12,12
National Labor Relations Board - L,0,0,0,0
National Mediation Board - H,0,0,0,0
National Mediation Board - M,0,6,5,5
National Mediation Board - L,0,10,9,9
National Science Foundation - H,0,0,0,0
National Science Foundation - M,2,2,4,3
National Science Foundation - L,0,0,0,0
National Transportation Safety Board - H,0,0,0,0
National Transportation Safety Board - M,2,7,9,9
National Transportation Safety Board - L,0,0,0,0
Nuclear Regulatory Commission - H,1,0,1,1
Nuclear Regulatory Commission - M,10,2,12,8
Nuclear Regulatory Commission - L,2,0,2,1
Nuclear Waste Technical Review Board - H,0,0,0,0
Nuclear Waste Technical Review Board - M,1,2,3,3
Nuclear Waste Technical Review Board - L,0,0,0,0
Occupational Safety and Health Review Commission - H,0,0,0,0
Occupational Safety and Health Review Commission - M,1,3,4,0
Occupational Safety and Health Review Commission - L,0,0,0,0
Office of Government Ethics - H,0,0,0,0
Office of Government Ethics - M,2,0,2,0
Office of Government Ethics - L,1,0,1,0
Office of Navajo and Hopi Indian Relocation - H,0,0,0,0
Office of Navajo and Hopi Indian Relocation - M,0,0,0,0
Office of Navajo and Hopi Indian Relocation - L,0,2,1,1
Office of Personnel Management - H,8,2,10,3
Office of Personnel Management - M,22,18,40,7
Office of Personnel Management - L,0,1,1,1
Office of Special Counsel - H,0,0,0,0
Office of Special Counsel - M,1,4,5,4
Office of Special Counsel - L,0,0,0,0
Office of the Comptroller of the Currency  - H,0,0,0,0
Office of the Comptroller of the Currency  - M,17,17,34,34
Office of the Comptroller of the Currency  - L,1,2,3,3
Peace Corps - H,0,0,0,0
Peace Corps - M,8,4,12,12
Peace Corps - L,1,1,2,2
Pension Benefit Guaranty Corporation - H,0,0,0,0
Pension Benefit Guaranty Corporation - M,6,10,16,16
Pension Benefit Guaranty Corporation - L,1,0,1,1
Postal Regulatory Commission - H,0,0,0,0
Postal Regulatory Commission - M,0,5,2,0
Postal Regulatory Commission - L,0,0,0,0
Presidio Trust - H,25,33,0,0
Presidio Trust - M,10,21,0,0
Presidio Trust - L,9,18,0,0
Privacy and Civil Liberties Oversight Board - H,0,0,0,0
Privacy and Civil Liberties Oversight Board - M,1,2,3,0
Privacy and Civil Liberties Oversight Board - L,0,0,0,0
Railroad Retirement Board - H,0,0,0,0
Railroad Retirement Board - M,4,10,10,10
Railroad Retirement Board - L,0,0,0,0
Securities and Exchange Commission - H,0,0,0,0
Securities and Exchange Commission - M,64,41,103,0
Securities and Exchange Commission - L,0,2,2,0
Selective Service System - H,0,0,0,0
Selective Service System - M,1,0,1,1
Selective Service System - L,0,0,0,0
Small Business Administration - H,0,0,0,0
Small Business Administration - M,12,13,25,0
Small Business Administration - L,1,3,4,0
Smithsonian Institution - H,0,0,0,0
Smithsonian Institution - M,0,0,0,0
Smithsonian Institution - L,0,0,0,0
Social Security Administration - H,0,0,0,0
Social Security Administration - M,155,23,100,0
Social Security Administration - L,20,5,7,0
Social Security Advisory Board - H,0,0,0,0
Social Security Advisory Board - M,0,0,0,0
Social Security Advisory Board - L,0,0,0,0
Surface Transportation Board - H,0,0,0,0
Surface Transportation Board - M,1,8,9,8
Surface Transportation Board - L,0,0,0,0
Tennessee Valley Authority - H,4,0,4,0
Tennessee Valley Authority - M,41,0,41,0
Tennessee Valley Authority - L,6,0,6,0
U.S. International Development Finance Corporation - H,0,0,0,0
U.S. International Development Finance Corporation - M,4,4,4,4
U.S. International Development Finance Corporation - L,0,0,0,0
U.S. Trade and Development Agency - H,0,0,0,0
U.S. Trade and Development Agency - M,1,4,5,5
U.S. Trade and Development Agency - L,0,0,0,0
United States AbilityOne Commission - H,0,0,0,0
United States AbilityOne Commission - M,2,0,2,0
United States AbilityOne Commission - L,0,0,0,0
United States Access Board - H,0,0,0,0
United States Access Board - M,1,0,1,0
United States Access Board - L,0,0,0,0
United States Agency for Global Media - H,0,1,1,0
United States Agency for Global Media - M,11,16,27,0
United States Agency for Global Media - L,10,2,12,0
United States Agency for International Development (USAID) - H,0,0,0,0
United States Agency for International Development (USAID) - M,33,11,44,0
United States Agency for International Development (USAID) - L,2,0,2,0
United States Institute of Peace - H,0,0,0,0
United States Institute of Peace - M,0,0,0,0
United States Institute of Peace - L,0,0,0,0
United States Interagency Council on Homelessness - H,0,0,0,0
United States Interagency Council on Homelessness - M,0,0,0,0
United States Interagency Council on Homelessness - L,0,0,0,0
